순위,종목코드,종목명,공매도 거래대금,거래대금,공매도 비중,공매도 거래대금 증가배율,직전40거래일 공매도 비중 평균,공매도 비중 증가배율,주가 수익률,market
1,51900,LG생활건강,13298745500,29064598500,45.76,2.56,22.48,2.04,3.04,KOSPI
2,9240,한샘,387535000,1238493600,31.29,1.73,10.78,2.9,0.9,KOSPI
3,96770,SK이노베이션,15465741800,52784969650,29.3,1.95,12.6,2.32,2.54,KOSPI
4,83420,그린케미칼,183499330,640675815,28.64,2.87,3.95,7.26,0.39,KOSPI
5,145720,덴티움,638164550,2406705500,26.52,1.54,12.91,2.05,0.0,KOSPI
6,80,하이트진로,1069677035,4480531810,23.87,2.22,9.75,2.45,-0.15,KOSPI
7,90430,아모레퍼시픽,7065676100,30276717550,23.34,1.24,10.79,2.16,0.0,KOSPI
8,810,삼성화재,9654985500,45921570000,21.02,1.78,10.4,2.02,0.57,KOSPI
9,280360,롯데웰푸드,208806000,997641050,20.93,0.74,10.56,1.98,0.0,KOSPI
10,112610,씨에스윈드,3756233475,18356610500,20.46,2.91,6.42,3.19,-0.55,KOSPI
11,4370,농심,1541370750,7666937500,20.1,0.88,11.65,1.73,1.33,KOSPI
12,10950,S-Oil,2877303800,14422692050,19.95,1.13,13.36,1.49,-0.49,KOSPI
13,111770,영원무역,349997500,1756235350,19.93,0.65,16.73,1.19,0.69,KOSPI
14,69960,현대백화점,731733400,3704005700,19.76,1.46,8.48,2.33,1.68,KOSPI
15,4800,효성,774024400,4077049900,18.98,1.42,7.54,2.52,-0.45,KOSPI
16,443060,HD현대마린솔루션,3592553300,19165877000,18.74,2.67,5.2,3.6,1.03,KOSPI
17,475560,더본코리아,79892950,433144250,18.44,2.85,2.35,7.85,0.0,KOSPI
18,97950,CJ제일제당,3855295500,21203690750,18.18,1.28,13.5,1.35,1.29,KOSPI
19,100090,SK오션플랜트,2073391750,11732360950,17.67,2.68,5.43,3.26,-0.49,KOSPI
20,114090,GKL,769995120,4409325665,17.46,1.63,7.17,2.44,-0.9,KOSPI
21,192080,더블유게임즈,380012650,2207303500,17.22,1.15,6.33,2.72,0.94,KOSPI
22,9830,한화솔루션,15447870425,90854967450,17.0,1.44,5.79,2.94,3.45,KOSPI
23,175330,JB금융지주,2293184700,13539972250,16.94,2.36,6.47,2.62,-1.33,KOSPI
24,271560,오리온,3845490900,22840276950,16.84,1.42,16.43,1.02,0.92,KOSPI
