순위,종목코드,종목명,공매도 거래대금,거래대금,공매도 비중,공매도 거래대금 증가배율,직전40거래일 공매도 비중 평균,공매도 비중 증가배율,주가 수익률
"1","121600","나노신소재","1090025600","3728210150","29.24","2.87","8.33","3.51","-1.42"
"2","058970","엠로","574259300","1984689725","28.93","2.67","5.57","5.19","-0.47"
"3","348210","넥스틴","255497350","1255476900","20.35","0.62","18.28","1.11","-0.35"
"4","420770","기가비스","57575950","305142400","18.87","1.38","8.39","2.25","-0.60"
"5","039840","디오","49804800","269863040","18.46","0.93","9.36","1.97","-0.89"
"6","035760","CJ ENM","2230167200","12401709550","17.98","5.76","5.63","3.19","-1.04"
"7","082270","젬백스","2493746300","13870450900","17.98","2.70","6.66","2.70","-3.77"
"8","003100","선광","13575410","76186590","17.82","5.53","0.99","17.96","-0.47"
"9","056190","에스에프에이","265737600","1522099600","17.46","1.99","7.55","2.31","0.22"
"10","028300","HLB","5471573625","31682081125","17.27","1.28","11.63","1.49","-1.06"
"11","069080","웹젠","83562830","487196690","17.15","1.26","7.90","2.17","-0.28"
"12","066700","테라젠이텍스","12203235","72918735","16.74","6.14","1.59","10.53","0.52"
"13","032500","케이엠더블유","108728520","656769465","16.56","0.38","8.10","2.04","1.31"
"14","027710","팜스토리","10888183","65804884","16.55","1.69","3.14","5.27","0.17"
"15","017890","한국알콜","31935580","197811520","16.14","2.14","3.91","4.13","-0.53"
"16","189300","인텔리안테크","214641500","1355000525","15.84","1.32","4.40","3.60","0.32"
"17","293490","카카오게임즈","303367300","1921841635","15.79","0.41","11.92","1.32","-0.30"
"18","087600","픽셀플러스","1452970","9370530","15.51","2.24","1.32","11.75","-0.74"
"19","041960","코미팜","95081080","617657985","15.39","3.36","4.49","3.43","-0.35"
"20","083790","CG인바이츠","77070011","503777824","15.30","8.61","2.76","5.54","4.30"
"21","237820","플레이디","16712830","109314250","15.29","1.20","4.21","3.63","-0.39"
"22","147760","피엠티","3746840","24526455","15.28","19.30","0.41","37.17","-0.62"
"23","222080","씨아이에스","254168810","1685916670","15.08","1.33","6.80","2.22","0.29"
"24","142280","녹십자엠에스","23681586","159365691","14.86","1.58","3.05","4.88","0.00"
"25","086900","메디톡스","742115300","5021802050","14.78","1.25","7.06","2.09","-0.66"
"26","383310","에코프로에이치엔","136249300","966581700","14.10","1.32","5.81","2.43","-0.38"
"27","304100","솔트룩스","659956650","4727764300","13.96","3.04","2.49","5.61","0.32"
"28","140860","파크시스템스","743293000","5346221250","13.90","1.27","7.76","1.79","1.62"
"29","043260","성호전자","8379073","60307722","13.89","1.88","1.91","7.28","0.10"
"30","247540","에코프로비엠","5840995800","42317202650","13.80","0.70","9.61","1.44","-0.31"
"31","040610","SG&G","3847498","28190662","13.65","2.66","1.29","10.57","-0.05"
"32","037440","희림","16194310","120221370","13.47","1.77","2.65","5.08","-0.98"
"33","078600","대주전자재료","711724600","5331290050","13.35","0.72","7.18","1.86","0.28"
"34","024840","KBI메탈","28651135","216903205","13.21","1.55","1.72","7.70","1.25"
"35","031310","아이즈비전","4406328","33428775","13.18","1.08","2.01","6.56","-0.36"
"36","067160","SOOP","335083900","2571723250","13.03","0.51","8.00","1.63","-0.88"
"37","355390","크라우드웍스","54611520","419813075","13.01","1.20","3.74","3.47","-1.27"
"38","005860","한일사료","50195205","388746080","12.91","0.91","3.05","4.23","0.28"
"39","335890","비올","71020500","552559900","12.85","0.94","3.97","3.24","0.25"
"40","108230","톱텍","62479275","487040164","12.83","1.07","5.12","2.51","1.97"
"41","064760","티씨케이","394103600","3123941100","12.62","0.63","13.54","0.93","0.18"
"42","036830","솔브레인홀딩스","171510300","1360662550","12.60","0.48","6.92","1.82","0.00"
"43","086520","에코프로","6212243450","49961449450","12.43","1.14","8.57","1.45","-0.90"
"44","100700","세운메디칼","5924115","48214735","12.29","0.63","6.47","1.90","0.00"
"45","141080","리가켐바이오","5755283350","47112032500","12.22","0.94","7.12","1.72","0.74"
"46","215200","메가스터디교육","89292750","748648350","11.93","0.70","11.41","1.05","0.11"
"47","215360","우리산업","12291300","103195485","11.91","1.99","2.24","5.32","-0.80"
"48","057680","티사이언티픽","31331983","263536021","11.89","1.14","2.74","4.34","-3.40"
"49","394280","오픈엣지테크놀로지","85117620","718232510","11.85","0.85","7.80","1.52","0.68"
"50","148250","알엔투테크놀로지","40906790","347513230","11.77","4.79","2.14","5.50","-1.52"
