순위,종목코드,종목명,공매도 거래대금,거래대금,공매도 비중,공매도 거래대금 증가배율,직전40거래일 공매도 비중 평균,공매도 비중 증가배율,주가 수익률,market
1,96770,SK이노베이션,11546009100,29199753450,39.54,1.55,14.19,2.79,-1.24,KOSPI
2,32830,삼성생명,7425397500,21146893550,35.11,1.21,12.58,2.79,-0.29,KOSPI
3,12750,에스원,660861200,1913216900,34.54,1.39,17.74,1.95,0.13,KOSPI
4,51900,LG생활건강,3387125000,10201609000,33.2,0.58,25.99,1.28,-0.99,KOSPI
5,344820,KCC글라스,113428350,361774650,31.35,1.28,11.38,2.76,0.0,KOSPI
6,6400,삼성SDI,30311830250,106618492750,28.43,2.42,7.43,3.83,-0.45,KOSPI
7,80,하이트진로,418486800,1502948845,27.84,0.78,11.93,2.33,0.05,KOSPI
8,150,두산,19058187500,72171833000,26.41,5.97,2.82,9.36,-0.89,KOSPI
9,2380,KCC,2596355000,9972302500,26.04,2.97,6.4,4.07,2.67,KOSPI
10,3670,포스코퓨처엠,9991836350,38717008200,25.81,1.32,9.82,2.63,-1.55,KOSPI
11,5440,현대지에프홀딩스,608109630,2425421485,25.07,4.38,4.99,5.02,-2.8,KOSPI
12,8770,호텔신라,3581932350,14515609925,24.68,1.71,13.69,1.8,-2.97,KOSPI
13,10130,고려아연,5314653500,21618960500,24.58,5.42,5.77,4.26,2.15,KOSPI
14,181710,NHN,968630850,4128490050,23.46,3.42,5.2,4.51,-1.68,KOSPI
15,30200,KT,4280163100,18276861512,23.42,1.69,10.01,2.34,-1.63,KOSPI
16,271560,오리온,3448213000,14751101900,23.38,1.34,17.15,1.36,-0.47,KOSPI
17,30210,다올투자증권,25686245,110245350,23.3,1.31,5.07,4.6,-0.15,KOSPI
18,79550,LIG넥스원,34130680000,150184542750,22.73,5.7,5.06,4.49,-5.27,KOSPI
19,42700,한미반도체,7283757700,32247869650,22.59,0.83,12.25,1.84,-0.11,KOSPI
20,111770,영원무역,578214800,2598036700,22.26,1.18,17.68,1.26,-2.25,KOSPI
21,336370,솔루스첨단소재,377320160,1710770765,22.06,2.03,9.09,2.43,-1.85,KOSPI
22,8350,남선알미늄,65544828,298850631,21.93,1.25,4.94,4.44,-0.09,KOSPI
23,10120,LS ELECTRIC,6632612250,30749429250,21.57,1.33,6.76,3.19,0.35,KOSPI
24,123890,한국자산신탁,52419165,249600633,21.0,2.02,7.29,2.88,-0.42,KOSPI
25,1800,오리온홀딩스,326271730,1575520040,20.71,0.97,6.68,3.1,-0.4,KOSPI
26,105560,KB금융,12061108100,59967756550,20.11,0.9,10.51,1.91,0.18,KOSPI
27,180640,한진칼,1511605900,7634763150,19.8,0.77,19.26,1.03,-4.61,KOSPI
28,373220,LG에너지솔루션,13270416500,67813969000,19.57,0.81,10.37,1.89,-1.97,KOSPI
29,34220,LG디스플레이,5397474200,28442126235,18.98,1.66,13.1,1.45,0.51,KOSPI
30,5180,빙그레,320156300,1696690850,18.87,0.94,6.97,2.71,0.14,KOSPI
31,25000,KPX케미칼,8480950,45906550,18.47,0.56,4.23,4.37,-0.3,KOSPI
32,499790,GS피앤엘,1634224650,8945200725,18.27,6.2,2.57,7.1,-1.81,KOSPI
33,11780,금호석유화학,935442800,5258791900,17.79,0.78,7.75,2.3,-0.72,KOSPI
34,4170,신세계,720334600,4058483300,17.75,0.81,13.11,1.35,-0.24,KOSPI
35,280360,롯데웰푸드,136235100,768358450,17.73,0.51,12.53,1.42,0.08,KOSPI
36,140,하이트진로홀딩스,22244445,129423510,17.19,0.57,7.52,2.29,-0.7,KOSPI
37,1530,DI동일,172397850,1008427500,17.1,0.69,10.34,1.65,0.0,KOSPI
38,69960,현대백화점,789185600,4685975200,16.84,1.53,10.69,1.58,0.27,KOSPI
39,86790,하나금융지주,9101146650,54425962450,16.72,1.69,5.7,2.94,0.37,KOSPI
40,251270,넷마블,1307449800,7929166500,16.49,1.39,5.52,2.99,-0.64,KOSPI
41,9970,영원무역홀딩스,306835900,1887558450,16.26,0.8,15.87,1.02,-1.13,KOSPI
42,11200,HMM,5007739650,31097281225,16.1,1.21,7.2,2.24,-0.45,KOSPI
43,192080,더블유게임즈,253039250,1575784000,16.06,1.03,7.38,2.18,0.78,KOSPI
44,326030,SK바이오팜,2052507300,12815360600,16.02,0.7,10.25,1.56,0.2,KOSPI
45,18260,삼성에스디에스,2572491700,16121033800,15.96,0.52,10.13,1.58,-0.75,KOSPI
46,12630,HDC,551055350,3462379275,15.92,1.52,7.48,2.13,0.48,KOSPI
47,7310,오뚜기,312836000,1976427750,15.83,1.13,10.97,1.44,-0.26,KOSPI
48,403550,쏘카,13877320,89996140,15.42,2.04,9.18,1.68,-0.76,KOSPI
49,25540,한국단자,78627400,510390850,15.41,1.1,4.43,3.48,1.46,KOSPI
50,10060,OCI홀딩스,1641140300,10714750950,15.32,0.94,7.91,1.94,-1.69,KOSPI
1,121600,나노신소재,1090025600,3728210150,29.24,2.87,8.33,3.51,-1.42,KOSDAQ
2,58970,엠로,574259300,1984689725,28.93,2.67,5.57,5.19,-0.47,KOSDAQ
