순위,종목코드,종목명,공매도 거래대금,거래대금,공매도 비중,공매도 거래대금 증가배율,직전40거래일 공매도 비중 평균,공매도 비중 증가배율,주가 수익률,market,ret14_pct,rsi14
1,096770,SK이노베이션,11546009100,29199753450,39.54,1.55,14.19,2.79,-1.24,KOSPI,-3.6279069767441885,34.96932515337423
2,032830,삼성생명,7425397500,21146893550,35.11,1.21,12.58,2.79,-0.29,KOSPI,12.398703403565637,81.93832599118943
3,012750,에스원,660861200,1913216900,34.54,1.39,17.74,1.95,0.13,KOSPI,6.594885598923295,95.16129032258064
4,051900,LG생활건강,3387125000,10201609000,33.2,0.58,25.99,1.28,-0.99,KOSPI,0.3355704697986628,50.0
5,344820,KCC글라스,113428350,361774650,31.35,1.28,11.38,2.76,0.0,KOSPI,-4.3973941368078195,25.000000000000014
6,006400,삼성SDI,30311830250,106618492750,28.43,2.42,7.43,3.83,-0.45,KOSPI,0.917431192660545,54.41176470588235
7,000080,하이트진로,418486800,1502948845,27.84,0.78,11.93,2.33,0.05,KOSPI,-3.759398496240607,16.417910447761187
8,000150,두산,19058187500,72171833000,26.41,5.97,2.82,9.36,-0.89,KOSPI,-5.91216216216216,39.39393939393939
9,002380,KCC,2596355000,9972302500,26.04,2.97,6.4,4.07,2.67,KOSPI,-0.38860103626943143,49.504950495049506
10,003670,포스코퓨처엠,9991836350,38717008200,25.81,1.32,9.82,2.63,-1.55,KOSPI,1.0638297872340496,50.51546391752578
11,005440,현대지에프홀딩스,608109630,2425421485,25.07,4.38,4.99,5.02,-2.8,KOSPI,-13.420427553444181,15.591397849462368
12,008770,호텔신라,3581932350,14515609925,24.68,1.71,13.69,1.8,-2.97,KOSPI,-6.324110671936756,25.000000000000014
13,010130,고려아연,5314653500,21618960500,24.58,5.42,5.77,4.26,2.15,KOSPI,2.405063291139231,48.38709677419355
14,181710,NHN,968630850,4128490050,23.46,3.42,5.2,4.51,-1.68,KOSPI,-10.677966101694913,27.61904761904762
15,030200,KT,4280163100,18276861512,23.42,1.69,10.01,2.34,-1.63,KOSPI,0.9310986964618184,49.275362318840585
16,271560,오리온,3448213000,14751101900,23.38,1.34,17.15,1.36,-0.47,KOSPI,-4.46428571428571,30.8411214953271
17,030210,다올투자증권,25686245,110245350,23.3,1.31,5.07,4.6,-0.15,KOSPI,-1.3005780346820761,41.41414141414141
18,079550,LIG넥스원,34130680000,150184542750,22.73,5.7,5.06,4.49,-5.27,KOSPI,-3.606237816764135,26.048565121412807
